judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Alba,2021-03-01,1,6,2,4,0
Alba,2021-03-01,2,845,123,722,0
Alba,2021-03-01,3,0,0,0,0
Alba,2021-03-01,toate,851,125,726,0
Alba,2021-03-02,1,16,7,9,0
Alba,2021-03-02,2,803,98,705,0
Alba,2021-03-02,3,0,0,0,0
Alba,2021-03-02,toate,819,105,714,0
Alba,2021-03-03,1,19,7,12,0
Alba,2021-03-03,2,883,115,768,0
Alba,2021-03-03,3,0,0,0,0
Alba,2021-03-03,toate,902,122,780,0
Alba,2021-03-04,1,19,9,8,2
Alba,2021-03-04,2,1038,114,706,218
Alba,2021-03-04,3,0,0,0,0
Alba,2021-03-04,toate,1057,123,714,220
Alba,2021-03-05,1,23,5,17,1
Alba,2021-03-05,2,993,127,667,199
Alba,2021-03-05,3,0,0,0,0
Alba,2021-03-05,toate,1016,132,684,200
Alba,2021-03-06,1,20,5,15,0
Alba,2021-03-06,2,1023,120,733,170
Alba,2021-03-06,3,2,0,2,0
Alba,2021-03-06,toate,1045,125,750,170
Alba,2021-03-07,1,10,2,8,0
Alba,2021-03-07,2,992,120,772,100
Alba,2021-03-07,3,0,0,0,0
Alba,2021-03-07,toate,1002,122,780,100
Alba,2021-03-08,1,15,10,5,0
Alba,2021-03-08,2,945,112,763,70
Alba,2021-03-08,3,0,0,0,0
Alba,2021-03-08,toate,960,122,768,70
Alba,2021-03-09,1,19,2,16,1
Alba,2021-03-09,2,1012,119,794,99
Alba,2021-03-09,3,2,2,0,0
Alba,2021-03-09,toate,1033,123,810,100
Alba,2021-03-10,1,8,3,5,0
Alba,2021-03-10,2,957,130,757,70
Alba,2021-03-10,3,2,2,0,0
Alba,2021-03-10,toate,967,135,762,70
Alba,2021-03-11,1,26,3,23,0
Alba,2021-03-11,2,1149,118,942,89
Alba,2021-03-11,3,4,2,1,1
Alba,2021-03-11,toate,1179,123,966,90
Alba,2021-03-12,1,17,5,12,0
Alba,2021-03-12,2,1153,79,924,150
Alba,2021-03-12,3,14,14,0,0
Alba,2021-03-12,toate,1184,98,936,150
Alba,2021-03-13,1,14,1,13,0
Alba,2021-03-13,2,1104,109,875,120
Alba,2021-03-13,3,39,39,0,0
Alba,2021-03-13,toate,1157,149,888,120
Alba,2021-03-14,1,11,2,9,0
Alba,2021-03-14,2,1006,104,852,50
Alba,2021-03-14,3,21,18,3,0
Alba,2021-03-14,toate,1038,124,864,50
Alba,2021-03-15,1,26,3,23,0
Alba,2021-03-15,2,1155,115,900,140
Alba,2021-03-15,3,97,96,1,0
Alba,2021-03-15,toate,1278,214,924,140
Alba,2021-03-16,1,30,3,19,8
Alba,2021-03-16,2,1267,95,912,260
Alba,2021-03-16,3,89,83,4,2
Alba,2021-03-16,toate,1386,181,935,270
Alba,2021-03-17,1,20,4,9,7
Alba,2021-03-17,2,1295,95,927,273
Alba,2021-03-17,3,78,77,1,0
Alba,2021-03-17,toate,1393,176,937,280
Alba,2021-03-18,1,10,0,10,0
Alba,2021-03-18,2,786,78,708,0
Alba,2021-03-18,3,99,97,2,0
Alba,2021-03-18,toate,895,175,720,0
Alba,toate,1,309,73,217,19
Alba,toate,2,18406,1971,14427,2008
Alba,toate,3,447,430,14,3
Alba,toate,toate,19162,2474,14658,2030
Arad,2021-03-01,1,26,14,12,0
Arad,2021-03-01,2,708,179,529,0
Arad,2021-03-01,3,0,0,0,0
Arad,2021-03-01,toate,734,193,541,0
Arad,2021-03-02,1,12,10,2,0
Arad,2021-03-02,2,719,157,562,0
Arad,2021-03-02,3,1,1,0,0
Arad,2021-03-02,toate,732,168,564,0
Arad,2021-03-03,1,16,5,11,0
Arad,2021-03-03,2,709,156,553,0
Arad,2021-03-03,3,0,0,0,0
Arad,2021-03-03,toate,725,161,564,0
Arad,2021-03-04,1,22,10,12,0
Arad,2021-03-04,2,630,126,504,0
Arad,2021-03-04,3,0,0,0,0
Arad,2021-03-04,toate,652,136,516,0
